,files,keys,en,hi,id,ko,th,zh-Hant,Base,ja,vi,zh-Hans
1,Flabuless/Layouts/Apps Specific/Bridgestone/Login.strings,"""B0W-J5-bQA.text""","""Welcome to BS-Fit: A wellness program for Bridgestone China & Asia Pacific"";","""बी-फिट में आपका स्वागत है: ब्रिजस्टोन एशिया प्रशांत के लिए एक कल्याण कार्यक्रम।"";","""Selamat Datang di B-Fit: Program kesehatan untuk Bridgestone Asia Pasifik."";","""B-Fit에 오신 것을 환영합니다 : Bridgestone Asia Pacific의 웰니스 프로그램."";","""ยินดีต้อนรับสู่ B-Fit: โครงการสุขภาพสำหรับ Bridgestone Asia Pacific"";","""歡迎來到B-Fit：普利司通亞太區的健康計劃。"";",,"""B-Fitへようこそ：ブリヂストンアジア太平洋地域のウェルネスプログラム。"";","""Chào mừng bạn đến với B-Fit: Chương trình chăm sóc sức khỏe cho Bridgestone Asia Pacific."";","""欢迎来到B-Fit：普利司通亚太区的健康计划。"";"
0,Flabuless/Layouts/Apps Specific/Flabuless/LoginViewController.strings,"""qTD-Nj-Xmp.normalTitle""","""Location  >"";","""लोकेशन  >"";","""Lokasi >"";","""위치 >"";","""ตำแหน่งที่ตั้ง >"";","""位置 >"";",,"""ロケーション>"";","""Vị trí >"";","""位置  >"";"
1,Flabuless/Layouts/Apps Specific/Flabuless/LoginViewController.strings,"""42p-DZ-9PH.placeholder""","""Password"";","""पासवर्ड "";","""Sandi"";","""비밀번호"";","""รหัสผ่าน"";","""密碼"";",,"""パスワード"";","""Mật khẩu"";","""密码"";"
2,Flabuless/Layouts/Apps Specific/Flabuless/LoginViewController.strings,"""z1C-ae-Q30.normalTitle""","""LOG IN"";","""लॉग इन करें"";","""masuk"";","""로그인"";","""เข้าสู่ระบบ"";","""登錄"";",,"""ログイン"";","""ĐĂNG NHẬP"";","""登录"";"
3,Flabuless/Layouts/Apps Specific/Flabuless/LoginViewController.strings,"""bcN-FV-2w4.placeholder""","""Email or Username"";","""ईमेल या उपयोगकर्ता का नाम"";","""Email atau nama pengguna"";","""이메일 또는 사용자 이름"";","""อีเมล์หรือชื่อผู้ใช้"";","""電子信箱或使用者名稱"";",,"""メールアドレスまたはユーザ名"";","""Email hoặc Tên người dùng"";","""电子邮箱或用户名"";"
4,Flabuless/Layouts/Apps Specific/Flabuless/LoginViewController.strings,"""FbO-hh-0Tf.text""","""Version:1.0"";","""संस्करण:1.0"";","""Versi:1.0"";","""버전: 1.0"";","""เวอร์ชัน: 1.0"";","""版本:1.0"";",,"""バージョン：1.0"";","""Phiên bản:1.0"";","""版本:1.0"";"
5,Flabuless/Layouts/Apps Specific/Flabuless/LoginViewController.strings,"""NYx-6C-8qP.normalTitle""","""Forgot Password ?"";","""पासवर्ड भूल गए ?"";","""Lupa Sandi?"";","""비밀번호를 잊으 셨나요 ?"";","""ลืมรหัสผ่าน"";","""忘了密碼？"";",,"""パスワードをお忘れですか ？"";","""Quên Mật khẩu ư ?"";","""忘记密码？"";"
6,Flabuless/Layouts/Apps Specific/Flabuless/LoginViewController.strings,"""el7-yR-094.text""","""I accept the Terms of service and Privacy Policy"";","""मैं उपयोग की शर्तें और गोपनीयता नीति स्वीकार करता हूँ "";","""Saya menerima Syarat Layanan dan Kebijakan Privasi"";","""이용 약관과 개인정보 보호정책에 동의합니다"";","""ฉันยอมรับข้อกำหนดในการให้บริการและนโยบายความเป็นส่วนตัว"";","""我接受服務條款與隱私原則"";",,"""私は利用規約とプライバシーポリシーに同意します"";","""Tôi đồng ý với các Điều khoản Dịch vụ và Chính sách Bảo mật"";","""我接受服务条款以及隐私政策"";"
0,Flabuless/Presentation Layer/LeaderBoard/BridgeStone/LeaderBoard Users List/LeaderBoardUsersListViewController.strings,"""Lew-OA-aJc.text""","""Team"";","""टीम"";","""Tim"";","""팀"";","""ทีม"";","""球隊"";",,"""チーム"";","""Team"";","""球队"";"
1,Flabuless/Presentation Layer/LeaderBoard/BridgeStone/LeaderBoard Users List/LeaderBoardUsersListViewController.strings,"""sqQ-g3-5Vr.text""","""Top Active Users"";","""शीर्ष सक्रिय उपयोगकर्ता"";","""Pengguna Aktif Teratas"";","""최고 활성 사용자"";","""ผู้ใช้งานบ่อย ที่สุด"";","""最活躍的成員"";",,"""トップアクティブユーザー"";","""Top Active Users"";","""最活跃的成员"";"
2,Flabuless/Presentation Layer/LeaderBoard/BridgeStone/LeaderBoard Users List/LeaderBoardUsersListViewController.strings,"""mxh-SX-YRX.text""","""Team Name"";","""टीम का नाम"";","""Nama tim"";","""팀 이름"";","""ชื่อทีม"";","""隊名"";",,"""チームの名前"";","""Team Name"";","""队名"";"
0,Flabuless/Presentation Layer/History/NewHistoryCells/CommonActivityTableViewCell.strings,"""B3z-fD-Gry.text""","""6 Pts"";","""6 Pts"";","""6 Pts"";","""6 Pts"";","""6 Pts"";","""6 Pts"";",,"""6 Pts"";","""6 Pts"";","""6 Pts"";"
1,Flabuless/Presentation Layer/History/NewHistoryCells/CommonActivityTableViewCell.strings,"""F2E-q1-91C.text""","""Checked in at 07:43:11"";","""Checked in at 07:43:11"";","""Checked in at 07:43:11"";","""Checked in at 07:43:11"";","""Checked in at 07:43:11"";","""Checked in at 07:43:11"";",,"""Checked in at 07:43:11"";","""Checked in at 07:43:11"";","""Checked in at 07:43:11"";"
2,Flabuless/Presentation Layer/History/NewHistoryCells/CommonActivityTableViewCell.strings,"""sn5-nn-8UC.text""","""Anytime Fitness  "";","""Anytime Fitness  "";","""Anytime Fitness  "";","""Anytime Fitness  "";","""Anytime Fitness  "";","""Anytime Fitness  "";",,"""Anytime Fitness  "";","""Anytime Fitness  "";","""Anytime Fitness  "";"
0,Flabuless/LocalizationStrings/Localizable.strings,"""SLEEP""","""SLEEP"";","""SLEEP"";","""SLEEP"";","""SLEEP"";","""SLEEP"";","""SLEEP"";","""SLEEP"";","""SLEEP"";","""SLEEP"";","""睡眠"";"
1,Flabuless/LocalizationStrings/Localizable.strings,"""No data Available.""","""No data Available."";","""कोई डेटा उपलब्ध नहीं."";","""Data tidak tersedia."";","""사용가능 데이터 없음."";","""ไม่มีข้อมูล"";","""無可用數據。"";","""No data Available."";","""データなし。"";","""Không có Dữ liệu."";","""没有数据可用。"";"
2,Flabuless/LocalizationStrings/Localizable.strings,"""Passcode""","""Passcode"";","""पासकोड"";","""Kode sandi"";","""패스코드"";","""รหัสผ่าน"";","""密碼"";","""Passcode"";","""パスコード"";","""Mã bảo mật"";","""密码"";"
3,Flabuless/LocalizationStrings/Localizable.strings,"""Login:NoNetwork""","""Please check your connection"";","""Please check your connection"";","""Please check your connection"";","""Please check your connection"";","""Please check your connection"";","""Please check your connection"";",,"""インターネット接続なし"";","""Please check your connection"";","""Please check your connection"";"
4,Flabuless/LocalizationStrings/Localizable.strings,"""Unable to connect to the weighing scale.""","""Unable to connect to the weighing scale."";","""वज़न मापने वाले स्केल से कनेक्ट करने में असमर्थ."";","""Tidak dapat terhubung ke timbangan."";","""체중 저울에 접속할 수 없습니다."";","""ไม่สามารถเชื่อมต่อกับตาชั่งน้ำหนัก"";","""無法連動至體重計。"";","""Unable to connect to the weighing scale."";","""体重計とリンクできません。"";","""Không thể kết nối với cân."";","""无法连接到体重秤。"";"
5,Flabuless/LocalizationStrings/Localizable.strings,"""No Network!""","""No Network!"";","""नेटवर्क नहीं है!"";","""Tidak Ada Jaringan!"";","""네트워크 없음!"";","""ไม่มีเครือข่าย!"";","""無網路！"";","""No Network!"";","""圏外です。"";","""Không có Mạng!"";","""没有网络！"";"
6,Flabuless/LocalizationStrings/Localizable.strings,"""Sorry RSVP deadline has passed""","""Sorry RSVP deadline has passed"";","""क्षमा करें उत्तराकांक्षी की समयसीमा बीत चुकी है"";","""Maaf, batas waktu RSVP sudah lewat"";","""죄송합니다 RSVP 마감시간이 지났습니다"";","""ขออภัยเส้นตาย RSVP ได้ผ่านไปแล้ว"";","""抱歉,請求答覆的截止日已過"";","""Sorry RSVP deadline has passed"";","""申し訳ありませんが、返答期限が過ぎました"";","""Rất tiếc đã quá hạn để gửi thư phúc đáp"";","""抱歉,回复邮件的截止日期已经过了"";"
7,Flabuless/LocalizationStrings/Localizable.strings,"""Avg.""","""Avg."";","""औसत"";","""Rata-rata"";","""평균"";","""เฉลี่ย"";","""平均"";","""Avg."";","""平均"";","""TB"";","""平均"";"
8,Flabuless/LocalizationStrings/Localizable.strings,"""Stand on the Weighing Machine""","""Stand on the Weighing Machine"";","""वज़न मापने वाली मशीन पर खड़े हो जाएँ "";","""Berdirilah di atas Timbangan"";","""체중계에 서 주세요"";","""ยืนบนเครื่องชั่งน้ำหนัก"";","""站上體重機"";","""Stand on the Weighing Machine"";","""体重計にたってください。"";","""Hãy đứng trên Cân"";","""站在磅秤上"";"
9,Flabuless/LocalizationStrings/Localizable.strings,"""AddActivity:Health:SubTitle""","""Please select the consultation date and register."";","""Please select the consultation date and register."";","""Please select the consultation date and register."";","""Please select the consultation date and register."";","""Please select the consultation date and register."";","""Please select the consultation date and register."";",,"""申請は年度内（4～3月）で１回までとなります."";","""Please select the consultation date and register."";","""Please select the consultation date and register."";"
10,Flabuless/LocalizationStrings/Localizable.strings,"""Redeemed on """,,"""को रिडीम किया गया "";","""Diklaim pada"";","""다음에 교환됨"";","""แลกแล้วใน"";","""已在……兌換"";",,,"""Đã đổi vào "";","""赎回"";"
11,Flabuless/LocalizationStrings/Localizable.strings,"""Please Select location""","""Please Select location"";","""कृपया लोकेशन चुनें "";","""Silakan Pilih Lokasi"";","""장소를 선택해 주세요"";","""โปรดเลือกที่ตั้ง"";","""請選擇地點"";","""Please Select location"";","""場所を選択してください"";","""Vui lòng Chọn địa điểm"";","""请选择位置"";"
12,Flabuless/LocalizationStrings/Localizable.strings,"""days to go""","""days to go"";","""दिन बाकी हैं "";","""hari lagi"";","""가야할 날들"";","""วันเท่านั้น"";","""尚有……日"";","""days to go"";","""行く日数"";","""còn lại ngày"";","""剩余的日子"";"
13,Flabuless/LocalizationStrings/Localizable.strings,"""Jan""","""Jan"";","""जनवरी"";","""Januari"";","""1 월"";","""ม.ค."";","""一月"";","""Jan"";","""Jan"";","""Jan"";","""一月"";"
14,Flabuless/LocalizationStrings/Localizable.strings,"""Please Select Category""","""Please Select Category"";","""कृपया श्रेणी का चयन करें"";","""Silakan Pilih Kategori"";","""카테고리를 선택하십시오."";","""โปรดเลือกหมวด"";","""請選擇類別"";","""Please Select Category"";","""カテゴリを選択してください"";","""Vui lòng Chọn Thể loại"";","""请选择类别"";"
15,Flabuless/LocalizationStrings/Localizable.strings,"""Leaderboard:Group:Label:Subtitle""","""Your Group rank is #%@"";","""आपका समूह रैंक #%@ है!"";","""Peringkat Grup Anda adalah #%@"";","""귀하의 그룹 순위는 #%@"";","""กลุ่มของคุณ อยู่อันดันที่ #%@"";","""你的團體排名是＃%@"";","""Your Group rank is #%@"";","""あなたのグループランキングは%@位です"";","""Xếp hạng nhóm của bạn là #%@"";","""您当前的团体排名是＃%@"";"
16,Flabuless/LocalizationStrings/Localizable.strings,"""Unable to access photos. Please go to settings and enable photo access to use this service.""","""Unable to access photos. Please go to settings and enable photo access to use this service."";","""फ़ोटो तक पहुंचने में असमर्थ। कृपया सेटिंग्स में जाएं और इस सेवा का उपयोग करने के लिए फोटो एक्सेस को सक्षम करें"";","""Tak bisa mengakses foto. Silakan buka setelan dan fungsikan akses foto untuk menggunakan layanan ini."";","""사진에 액세스할 수 없습니다. 설정으로 이동하여 이 서비스를 사용할 수 있도록 사진 액세스를 활성화하십시오."";","""ไม่สามารถเข้าถึงรูปภาพได้ โปรดไปที่การตั้งค่าและเปิดใช้งานการเข้าถึงภาพถ่ายเพื่อใช้บริการนี้"";","""無法存取照片。請至手機的設定功能允許BS-fit取用照片。"";","""Unable to access photos. Please go to settings and enable photo access to use this service."";","""写真にアクセスできません。設定に移動し、このサービスを使用する写真へのアクセスを有効にしてください。"";","""Không thể truy cập ảnh. Vui lòng đi tới cài đặt và cho phép truy cập ảnh để sử dụng dịch vụ này."";","""无法访问照片。请转到设置并启用照片访问以使用此服务。"";"
17,Flabuless/LocalizationStrings/Localizable.strings,"""CANCEL""","""CANCEL"";","""रद्द करें "";","""Batal"";","""취소"";","""ยกเลิก"";","""取消"";","""CANCEL"";","""キャンセル"";","""Hủy"";","""取消"";"
18,Flabuless/LocalizationStrings/Localizable.strings,"""Checked In""","""Checked In"";","""चेक इन किया "";","""Masuk"";","""체크인 함"";","""เช็คอินแล้ว"";","""登入"";","""Checked In"";","""チェックイン済"";","""Đã Xác nhận Có mặt"";","""签到"";"
19,Flabuless/LocalizationStrings/Localizable.strings,"""Golf""","""Golf"";","""गोल्फ़"";","""Golf"";","""골프"";","""กอล์ฟ"";","""高爾夫"";","""Golf"";","""ゴルフ"";","""Golf"";","""高尔夫球"";"
20,Flabuless/LocalizationStrings/Localizable.strings,"""EditEvent:MaxCapacity:Text""","""Max Capacity"";","""Max Capacity"";","""Max Capacity"";","""Max Capacity"";","""Max Capacity"";","""Max Capacity"";",,"""最大容量"";","""Max Capacity"";","""Max Capacity"";"
21,Flabuless/LocalizationStrings/Localizable.strings,"""There was a technical error in reading data from weighing machine. Please try switching on and off Bluetooth on your phone and retry. Alternatively, contact Rewardz support to reset machine.""",,"""वज़न मापने वाली मशीन से डेटा पढ़ने में तकनीकी त्रुटि थी. कृपया अपने फोन पर ब्लूटूथ को चालू और बंद करने का प्रयास करें और पुनः प्रयास करें. वैकल्पिक रूप से, मशीन रीसेट करने के लिए Rewardz सहयोग से संपर्क करें."";","""Terjadi kesalahan teknis saat membaca data dari timbangan. Silakan coba menonaktifkan dan mengaktifkan kembali Bluetooth di ponsel Anda, lalu coba lagi. Atau, Anda dapat menghubungi dukungan Rewardz untuk mengatur ulang mesin."";","""체중계로부터 데이터를 읽는 중에 기술적 오류가 발생했습니다. 귀하 핸드폰의 블루투스를 껐따가 켜 주시고 다시 시도해 주세요. 그 대신에, 기계의 리셋을 위해 Rewardz 고객지원으로 연락주셔도 됩니다."";","""เกิดความผิดพลาดทางเทคนิคในการอ่านข้อมูลจากเครื่องชั่งน้ำหนัก โปรดลองเปิดและปิดบลูทูธบนมือถือของคุณและลองอีกครั้ง อีกวิธีคือติดต่อฝ่ายสนับสนุน Rewardz เพื่อรีเซ็ทเครื่อง"";","""讀取體重機的數據時出現技術錯誤。請試著打開並關閉手機的藍芽,接著再試一次。或者,聯繫 Rewardz 支援人員以重置機器設定。"";",,,"""Đã có lỗi kỹ thuật xảy ra khi đọc dữ liệu từ cân. Vui lòng thử bật tắt Bluetooth của điện thoại bạn vài lần và thử lại. Hoặc liên hệ với bộ phận hỗ trợ Rewardz để khởi động lại cân. "";","""从称重机读取数据时出现技术错误。请尝试在您的手机上打开和关闭蓝牙,并重试。或者,联系奖励支持来重启机器。"";"
22,Flabuless/LocalizationStrings/Localizable.strings,"""Member""","""Member"";","""सदस्य "";","""Anggota"";","""회원"";","""สมาชิก"";","""位成員"";","""Member"";","""メンバー"";","""Thành viên"";","""位成员"";"
23,Flabuless/LocalizationStrings/Localizable.strings,"""Active""","""Active"";","""सक्रिय "";","""Aktif"";","""활발한"";","""กระฉับกระเฉง"";","""活躍"";","""Active"";","""アクティブ"";","""Năng động"";","""活跃"";"
24,Flabuless/LocalizationStrings/Localizable.strings,"""CalorieUnit""","""kcal"";","""किलो कैलोरी"";","""kkal"";","""킬로 칼로리"";","""กิโลแคลอรี"";","""千卡"";","""kcal"";","""キロカロリー"";","""kcal"";","""千卡"";"
25,Flabuless/LocalizationStrings/Localizable.strings,"""Dashboard:ActivityType:Steps""","""STEPS"";","""STEPS"";","""STEPS"";","""STEPS"";","""STEPS"";","""STEPS"";",,"""歩数"";","""STEPS"";","""STEPS"";"
26,Flabuless/LocalizationStrings/Localizable.strings,"""Scan QR code ""","""Scan QR code "";","""क्यू आर कोड स्कैन करें"";","""Pindai kode QR"";","""QR 코드 스캔"";","""สแกนโค้ด QR"";","""掃描二維碼"";","""Scan QR code "";","""QRコードをスキャンする"";","""Quét mã QR"";","""扫描二维码"";"
27,Flabuless/LocalizationStrings/Localizable.strings,"""Login:AlertTextField:LastName""","""Enter Lastname"";","""Enter Lastname"";","""Enter Lastname"";","""Enter Lastname"";","""Enter Lastname"";","""Enter Lastname"";","""Enter Lastname"";","""名を入力してください"";","""Enter Lastname"";","""Enter Lastname"";"
28,Flabuless/LocalizationStrings/Localizable.strings,"""Top 10 Participants""","""Top 10 Participants"";","""शीर्ष 10 प्रतिभागी "";","""TIM"";","""상위 10 참가자"";","""ผู้เข้าร่วม 10 อันดับแรก"";","""十大最強者"";",,"""参加者ランキングTOP10"";","""Top 10 Người tham gia"";","""十大最强者"";"
29,Flabuless/LocalizationStrings/Localizable.strings,"""ManualStepsSync:ContactSupport:Tile""","""How to manually update steps?"";","""How to manually update steps?"";","""How to manually update steps?"";","""How to manually update steps?"";","""How to manually update steps?"";","""How to manually update steps?"";",,"""How to manually update steps?"";","""How to manually update steps?"";","""How to manually update steps?"";"
30,Flabuless/LocalizationStrings/Localizable.strings,"""Duration cannot exceed""","""Duration cannot exceed"";","""अवधि बढ़ नहीं सकती है"";","""Durasi tak boleh melebihi"";","""기간은 [[Object]]을(를) 초과할 수 없습니다"";","""ระยะเวลาต้องไม่เกิน"";","""運動時間不得超過"";","""Duration cannot exceed"";","""期間は超えられません"";","""Thời gian không thể quá "";","""持续时间不能超过"";"
31,Flabuless/LocalizationStrings/Localizable.strings,"""Squash""","""Squash"";","""स्क्वॉश"";","""Squash"";","""스쿼시"";","""สควอช"";","""壁球"";","""Squash"";","""スカッシュ"";","""Bóng quần"";","""壁球"";"
32,Flabuless/LocalizationStrings/Localizable.strings,"""Facilities:Detail:Website:Label""","""Website"";","""Website"";","""Website"";","""Website"";","""Website"";","""Website"";","""Website"";","""ウェブサイト"";","""Website"";","""Website"";"
33,Flabuless/LocalizationStrings/Localizable.strings,"""AlertView:Button:No""","""No"";","""No"";","""No"";","""No"";","""No"";","""No"";",,"""いいえ"";","""No"";","""No"";"
34,Flabuless/LocalizationStrings/Localizable.strings,"""Total weight lost by organization""","""Total weight lost by organization"";","""आर्गेनाइजेशन द्वारा कम किया गया कुल वज़न "";","""Total penurunan berat badan oleh organisasi"";","""단체 총 감량 체중"";","""เสียน้ำหนักทั้งหมดโดยองค์กร"";","""機構減少的總計重量"";","""Total weight lost by organization"";","""グループ全体の増量数"";","""Tổng số cân giảm theo tổ chức"";","""组织减掉的总重量"";"
