,files,keys,en,vi,ms,th,ru,zh-Hans,ar,id
1,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RedeemTermsandConditionsTableViewCell/RedeemTermsandConditionsTableViewCell.strings,"""ZxW-sE-QdD.text""","""SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RedeemTermsandConditionsTableViewCell/RedeemTermsandConditionsTableViewCell.strings"";","""N/A"";","""N/A"";","""SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RedeemTermsandConditionsTableViewCell/RedeemTermsandConditionsTableViewCell.strings"";","""SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RedeemTermsandConditionsTableViewCell/RedeemTermsandConditionsTableViewCell.strings"";","""SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RedeemTermsandConditionsTableViewCell/RedeemTermsandConditionsTableViewCell.strings"";",,"""N/A"";"
0,SKOR/ATSNDashboard/Production User/DepartmentalPerformanceViewController.strings,"""vjH-cl-29Q.normalTitle""","""Week"";","""Tuần"";","""Week"";","""Week"";","""Неделя"";","""Week"";","""Week"";","""MINGGU"";"
1,SKOR/ATSNDashboard/Production User/DepartmentalPerformanceViewController.strings,"""fe2-Ed-euz.normalTitle""","""Quarter"";","""Quý"";","""Quarter"";","""ย่าน"";","""Квартал"";","""Quarter"";","""Quarter"";","""Suku"";"
2,SKOR/ATSNDashboard/Production User/DepartmentalPerformanceViewController.strings,"""edP-Hh-mvf.text""","""Departmental Performance"";","""Hiệu suất bộ phận"";","""Departmental Performance"";","""การปฏิบัติงานของแผนก"";","""Достижения департамента"";","""Departmental Performance"";","""Departmental Performance"";","""Prestasi Jabatan"";"
3,SKOR/ATSNDashboard/Production User/DepartmentalPerformanceViewController.strings,"""4C8-ki-lkl.normalTitle""","""Month"";","""Tháng"";","""Month"";","""Month"";","""Месяц"";","""Month"";","""Month"";","""BULAN"";"
0,SKOR/New Dashboard/Section provider/Dashboard Sections/Referral Section/Referralpopup.strings,"""ejG-0c-zhg.text""",""" Get 10,000 bonus points when you attain this tier"";",""" Get 10,000 bonus points when you attain this tier"";",""" Get 10,000 bonus points when you attain this tier"";",""" รับ 10,000 คะแนนโบนัสเมื่อคุณถึงระดับนี้"";","""Получите 10 000 бонусных баллов при достижении этого уровня"";","""รับ 10,000 คะแนนโบนัสเมื่อคุณบรรลุระดับนี้"";",,""" Get 10,000 bonus points when you attain this tier"";"
0,SKOR/Receipt/Receipt list/Custom Cell/ReceiptCell.strings,"""f3E-J5-hxE.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
1,SKOR/Receipt/Receipt list/Custom Cell/ReceiptCell.strings,"""xfD-BH-5IB.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
2,SKOR/Receipt/Receipt list/Custom Cell/ReceiptCell.strings,"""jVe-JD-nrO.text""","""PROCESSING"";","""ĐANG XỬ LÝ"";","""PROCESSING"";","""กำลังดำเนินการ"";","""ОБРАБОТКА"";","""PROCESSING"";",,"""PEMPROSESAN"";"
3,SKOR/Receipt/Receipt list/Custom Cell/ReceiptCell.strings,"""qJj-PU-RdI.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
4,SKOR/Receipt/Receipt list/Custom Cell/ReceiptCell.strings,"""Ods-WC-1nQ.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
5,SKOR/Receipt/Receipt list/Custom Cell/ReceiptCell.strings,"""s49-Ub-xve.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
6,SKOR/Receipt/Receipt list/Custom Cell/ReceiptCell.strings,"""UhW-Qz-r44.normalTitle""","""Upload"";","""Tải lên"";","""Upload"";","""อัพโหลด"";","""Загрузить"";","""Upload"";",,"""Muat naik"";"
0,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""L4k-Ak-4AZ.text""",,"""PROFILE"";","""PROFILE"";",,"""PROFILE"";",,"""PROFILE"";","""PROFIL"";"
1,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""xEp-G6-iDe.normalTitle""","""Save"";",,,"""Save"";","""Сохранить"""";","""保存"";",,
2,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""nco-10-13C.placeholder""","""Email Address"";",,,"""ที่อยู่อีเมล์"";","""Адрес эл. почты"""";","""电子邮件地址"";",,
3,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""sQ2-p4-ZV1.placeholder""","""Department"";",,,,"""Департамент"""";","""部"";",,
4,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""wmW-lK-6o1.placeholder""",,"""Địa chỉ 1"";","""Address Line 1"";",,"""Address Line 1"";",,"""Address Line 1"";","""Alamat 1"";"
5,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""CWU-5D-haM.placeholder""",,"""Address Line 2"";","""Address Line 2"";",,"""Address Line 2"";",,"""Address Line 2"";","""Alamat 2"";"
6,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""GLx-cp-UC3.normalTitle""",,"""Save"";","""Save"";",,"""Save"";",,"""Save"";","""Simpan teks"";"
7,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""ss3-Gg-Y2O.placeholder""","""Birthday (Optional)"";",,,,"""День рождения (необязательно)"""";",,,
8,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""JBH-7h-xCj.placeholder""",,"""Real Title"";","""Real Title"";",,"""Real Title"";",,"""Real Title"";","""Gelaran Sebenar"";"
9,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""AO6-rC-sno.text""","""Profile"";",,,"""ข้อมูลโดยรวม"";","""Профиль"""";","""编辑资料页"";",,
10,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""YpY-Rf-CiI.placeholder""",,"""Mobile"";","""Mobile"";",,"""Mobile"";",,"""Mobile"";","""No.Telefon Bimbit"";"
11,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""z4A-ig-Y6A.placeholder""",,"""Last Name"";","""Last Name"";",,"""Last Name"";",,"""Last Name"";","""Nama Akhir"";"
12,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""KsZ-fR-5lk.text""",,,,,"""SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings"";","""生日 (Optional)"";",,
13,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""7ft-qc-jjI.text""","""Make my birthday public"";",,,"""ทำให้วันเกิดของฉันเป็นสาธารณะ"";","""Make my birthday public"";","""公开我的出生日期"";",,
14,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""DfT-YM-D4x.placeholder""",,"""First Name"";","""First Name"";",,"""First Name"";",,"""First Name"";","""Nama pertama"";"
15,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""3pp-ez-Jjd.placeholder""","""Full name"";",,,"""ชื่อเต็ม"";","""Ф. И. О."""";","""全名"";",,
16,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""lRG-Fn-LHB.placeholder""",,"""Official Title"";","""Official Title"";",,"""Official Title"";",,"""Official Title"";","""Gelaran Rasmi"";"
17,SKOR/EditProfileViewStoryboard/NutcEditProfileViewStoryboard.strings,"""60m-j8-EgC.normalTitle""","""Change Photo"";",,,"""เปลี่ยนรูปภาพ"";","""Изменить фото"""";","""更改照片"";",,
0,SKOR/Feeds/CerraFeedsContainerViewController.strings,"""0sn-YR-jdY.text""","""Connect"";","""Bảng tin"";","""NEWS FEED"";","""เชื่อมต่อ"";","""НОВОСТНАЯ ЛЕНТА"";","""联系"";","""NEWS FEED"";","""Paparan Siaran"";"
1,SKOR/Feeds/CerraFeedsContainerViewController.strings,"""tWs-kh-Dfz.normalTitle""","""Check in"";","""HIỆN DIỆN"";","""Check in"";","""ลงทะเบียนอีเวนท์"";","""Регистрация"";","""签入"";","""Check in"";","""Check in"";"
2,SKOR/Feeds/CerraFeedsContainerViewController.strings,"""is7-V3-2ne.normalTitle""","""Dashboard"";","""Bảng tổng hợp"";","""Dashboard"";","""แดชบอร์ด"";","""Dashboard"";","""主页"";","""Dashboard"";","""Dashboard"";"
0,SKOR/Presentation Layer/Calendar/ASCalendarComponent/ASCalendarComponent.strings,"""pwu-Ym-chC.normalTitle""","""2019"";","""2019"";","""2019"";","""2019"";","""2019"""";","""2019"";","""2019"";","""2019"";"
0,SKOR/Presentation Layer/Rewards/RewardRedeemCell/RewardDescriptionTableViewCell.strings,"""ffS-E3-r0l.text""","""N/A"";","""N/A"";","""N/A"";","""N/A"";","""N/A"";","""N/A"";",,"""N/A"";"
0,SKOR/New Dashboard/Section provider/Dashboard Sections/Greeting Section/GrettingdetailViewController.strings,"""g9e-7M-qxz.text""","""test title"";","""test title"";","""test title"";","""test title"";","""test title"";","""test title"";",,"""test title"";"
1,SKOR/New Dashboard/Section provider/Dashboard Sections/Greeting Section/GrettingdetailViewController.strings,"""hVv-s7-8Hx.text""","""tes email"";","""tes email"";","""tes email"";","""tes email"";","""tes email"";","""tes email"";",,"""tes email"";"
2,SKOR/New Dashboard/Section provider/Dashboard Sections/Greeting Section/GrettingdetailViewController.strings,"""Hz0-0o-y9g.text""","""1 Birthday"";","""1 Birthday"";","""1 Birthday"";","""1 Birthday"";","""1 день рождения"";","""1 Birthday"";",,"""1 Birthday"";"
3,SKOR/New Dashboard/Section provider/Dashboard Sections/Greeting Section/GrettingdetailViewController.strings,"""rE1-67-mpW.normalTitle""","""SEND YOUR WISHES"";","""Gửi lời chúc của bạn"";","""SEND YOUR WISHES"";","""ส่งความปรารถนาของคุณ"";","""ОТПРАВЬТЕ СВОИ ПОЖЕЛАНИЯ"";","""发送您的愿望"";",,"""Hantar Salam Anda"";"
0,SKOR/Presentation Layer/Rewards/Reward Search & Filter/Reward Search/Section Adapter/Custom Cells/SearchedRewardCollectionViewCell.strings,"""aQ0-Yj-zzl.text""",,"""Label"";","""Label"";",,"""SKOR/Presentation Layer/Rewards/Reward Search & Filter/Reward Search/Section Adapter/Custom Cells/SearchedRewardCollectionViewCell.strings"";",,,"""Label"";"
1,SKOR/Presentation Layer/Rewards/Reward Search & Filter/Reward Search/Section Adapter/Custom Cells/SearchedRewardCollectionViewCell.strings,"""TVc-32-a1B.normalTitle""","""Redeem"";","""Đổi thưởng"";","""Redeem"";","""แลก"";","""ОБМЕНЯТЬ"";","""赎回"";",,"""Tebus"";"
2,SKOR/Presentation Layer/Rewards/Reward Search & Filter/Reward Search/Section Adapter/Custom Cells/SearchedRewardCollectionViewCell.strings,"""yin-pg-loI.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
3,SKOR/Presentation Layer/Rewards/Reward Search & Filter/Reward Search/Section Adapter/Custom Cells/SearchedRewardCollectionViewCell.strings,"""T2p-jr-pGb.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
4,SKOR/Presentation Layer/Rewards/Reward Search & Filter/Reward Search/Section Adapter/Custom Cells/SearchedRewardCollectionViewCell.strings,"""M8M-dc-DtN.text""",,"""Label"";","""Label"";",,"""SKOR/Presentation Layer/Rewards/Reward Search & Filter/Reward Search/Section Adapter/Custom Cells/SearchedRewardCollectionViewCell.strings"";",,,"""Label"";"
0,SKOR/Common List/Custom Cell/LanguageselectionViewController.strings,"""EYP-BC-Oc9.text""",,"""Click on the add button to get started"";","""Click on the add button to get started"";",,"""Нажмите на кнопку добавления, чтобы начать"";",,"""Click on the add button to get started"";",
0,SKOR/Presentation Layer/Calendar/Event Detail/Custom Cells/EventPointsCell/EventPointsCell.strings,"""rO2-b0-WwZ.text""","""Event Points"";","""Điểm sự kiện"";","""Event Points"";","""คะแนนงานอีเว้นท์"";","""Баллы за участие"";","""活动点"";",,"""Mata Acara"";"
0,SKOR/FacilityCheckInView/FacilityCheckInViewControllerCerraSG.strings,"""PUD-5t-sn5.placeholder""","""   Search"";","""    Tìm kiếm"";","""   Search"";","""   ค้นหา"";","""   Поиск"";","""   搜索"";","""   Search"";","""   Cari"";"
1,SKOR/FacilityCheckInView/FacilityCheckInViewControllerCerraSG.strings,"""4ny-Sf-sTT.text""","""Nearby"";","""Đăng ký Thiết bị"";","""FACILITY CHECKIN"";","""ตรวจสอบสิ่งอำนวยความสะดวก"";","""Рядом, поблизости"";","""登录设施"";","""FACILITY CHECKIN"";","""SEMAK KEMUDAHAN"";"
0,SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/SpecialDealCell/SpecialDealTableViewCell.strings,"""Mdg-y9-x4j.text""","""Special Deals"";","""Ưu đãi đặc biệt"";","""Special Deals"";","""Special Deals"";","""Специальные предложения"""";","""Special Deals"";",,"""Tawaran Istimewa"";"
0,SKOR/New Appreciation flow/Recognition Heroes/Custom Cells/Recognition Heroes Cell/RecognitionHeroCollectionViewCell.strings,"""FXA-wH-tQh.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
1,SKOR/New Appreciation flow/Recognition Heroes/Custom Cells/Recognition Heroes Cell/RecognitionHeroCollectionViewCell.strings,"""QKh-rX-Mnp.text""","""6"";","""6"";","""6"";","""6"";","""6"";","""6"";",,"""6"";"
0,SKOR/TabBar/TabBarOnboarding/OnBoardingsViewController.strings,"""eMJ-yp-4Q6.normalTitle""","""Next"";","""Next"";","""Next"";","""Next"";","""Следующий"";","""Next"";","""Next"";","""Terus"";"
1,SKOR/TabBar/TabBarOnboarding/OnBoardingsViewController.strings,"""CHw-QV-Z6c.normalTitle""","""Skip"";","""Skip"";","""Skip"";","""Skip"";","""Пропустить"";","""Skip"";","""Skip"";","""Melangkau"";"
2,SKOR/TabBar/TabBarOnboarding/OnBoardingsViewController.strings,"""cVv-de-Ysl.text""","""Tap here to upload your sales receipts"";","""Tap here to upload your sales receipts"";","""Tap here to upload your sales receipts"";","""Tap here to upload your sales receipts"";","""Нажмите здесь и загрузите чеки по продажам"";","""Tap here to upload your sales receipts"";","""Tap here to upload your sales receipts"";","""Tap here to upload your sales receipts"";"
0,SKOR/NotificationView/NotificationViewControllerCerraSG.strings,"""ufj-sW-axs.text""","""NOTIFICATIONS"";","""Thông báo"";","""NOTIFICATIONS"";","""การแจ้งเตือน"";","""УВЕДОМЛЕНИЯ"";","""通知"";",,"""NOTIFIKASI"";"
1,SKOR/NotificationView/NotificationViewControllerCerraSG.strings,"""nE5-zm-HjO.normalTitle""","""OK"";","""ĐỒNG Ý"";","""OK"";","""ตกลง"";","""OK"";","""好"";",,"""OK"";"
0,SKOR/Forget Password/ForgotPasswordViewControllerLuxottica.strings,"""VfU-T3-piQ.text""","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""คำแนะนำสำหรับการรีเซ็ทได้ส่งไปยังที่อยู่อีเมล์ของคุณ"";","""Reset instructions have been sent to your email address"";","""重置说明已发送到您的电子邮件"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";"
1,SKOR/Forget Password/ForgotPasswordViewControllerLuxottica.strings,"""tMY-VW-H1F.placeholder""","""Email Address"";","""Địa chỉ email"";","""Email Address"";","""ที่อยู่อีเมล์"";","""Адрес эл. почты"""";","""电子邮件地址"";","""Email Address"";","""Email Address"";"
2,SKOR/Forget Password/ForgotPasswordViewControllerLuxottica.strings,"""EpR-rz-7Qg.text""","""Forgot your password?"";","""Quên mật khẩu của bạn?"";","""Forgot your password?"";","""ลืมรหัสผ่านของคุณ?"";","""Forgot your password?"";","""找回密码吗?"";","""Forgot your password?"";","""Forgot your password?"";"
3,SKOR/Forget Password/ForgotPasswordViewControllerLuxottica.strings,"""DpS-fr-fH4.normalTitle""","""Submit"";","""Submit"";","""Submit"";","""ยืนยัน"";","""Отправить"";","""提交"";","""Submit"";","""Submit"";"
4,SKOR/Forget Password/ForgotPasswordViewControllerLuxottica.strings,"""mfI-8M-hdb.text""","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";","""ระบุอีเมลด้านล่างและเราจะทำการจัดส่งคู่มือการเปลี่ยนรหัสผ่านให้ท่าน"";","""Enter your email below and we'll send you instructions on how to change your password."";","""请输入您的电子邮件地址，我们会随后把重置说明发送到您输入的收件信箱。"";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";"
0,SKOR/New Appreciation flow/AppreciationCategoryInfoScreen/AppreciationCategoryInfoCell/AppreciationCategoryInfoCell.strings,"""FwO-wj-cOL.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
1,SKOR/New Appreciation flow/AppreciationCategoryInfoScreen/AppreciationCategoryInfoCell/AppreciationCategoryInfoCell.strings,"""Y7v-TO-z5f.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"";","""Label"";",,"""Label"";"
0,SKOR/New Dashboard/Dasboard Table Custom Cells/StepsCollectionTableViewCell.strings,"""dWy-ho-Alb.text""","""Health Kit"";","""Health Kit"";","""Health Kit"";","""Health Kit"";","""Health Kit"";","""Health Kit"";",,"""Health Kit"";"
1,SKOR/New Dashboard/Dasboard Table Custom Cells/StepsCollectionTableViewCell.strings,"""awC-IY-Jm8.text""","""Steps Summary"";","""Tóm tắt các bước"";","""Steps Summary"";","""สรุปขั้นตอน"";","""Сводка шагов"";","""Steps Summary"";",,"""RINGKASAN CARA"";"
2,SKOR/New Dashboard/Dasboard Table Custom Cells/StepsCollectionTableViewCell.strings,"""kGZ-0r-bUf.text""","""Connected with"";","""Đã kết nối với"";","""Connected with"";","""เชื่อมต่อกับ"";","""Подключено к"";","""Connected with"";",,"""Bersambung Dengan"";"
0,SKOR/AppreciateSubjectTableViewCell.strings,"""Msd-GR-kgW.text""","""Subject"";","""Chủ đề"";","""Subject"";","""ชื่อเรื่อง"";","""Тема"";","""主题"";",,"""Subjek"";"
0,SKOR/Presentation Layer/Rewards/RewardRedeemCell/RedeemRewardImageTableViewCell.strings,"""pt3-5u-iYu.text""","""Powered by Rewardz"";","""Powered by Rewardz"";","""Powered by Rewardz"";","""Powered by Rewardz"";","""Powered by Rewardz"";","""Powered by Rewardz"";",,"""Powered by Rewardz"";"
1,SKOR/Presentation Layer/Rewards/RewardRedeemCell/RedeemRewardImageTableViewCell.strings,"""BOn-9Y-YHS.text""","""Reward Name"";","""Reward Name"";","""Reward Name"";","""Reward Name"";","""Название вознаграждения"""";","""Reward Name"";",,"""Reward Name"";"
2,SKOR/Presentation Layer/Rewards/RewardRedeemCell/RedeemRewardImageTableViewCell.strings,"""hC4-S9-Bob.text""","""Description"";","""Description"";","""Description"";","""คำอธิบาย"";","""Description"";","""Description"";",,"""Description"";"
0,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Not Used/RewardNotUsedTableViewCell.strings,"""fqb-sv-erI.text""","""Your reward is now added into ‘My Wallet’. Please click on\n‘Use Now’ when you wish to use the e-voucher code from ‘My Wallet’."";","""Your reward is now added into ‘My Wallet’. Please click on\n‘Use Now’ when you wish to use the e-voucher code from ‘My Wallet’."";","""Your reward is now added into ‘My Wallet’. Please click on\n‘Use Now’ when you wish to use the e-voucher code from ‘My Wallet’."";","""Your reward is now added into ‘My Wallet’. Please click on\n‘Use Now’ when you wish to use the e-voucher code from ‘My Wallet’."";","""Вознаграждение добавлено в «Мой кошелек». Щелкните \n«Воспользоваться сейчас», когда решите использовать код эл. ваучера из раздела «Мой кошелек»."""";","""Your reward is now added into ‘My Wallet’. Please click on\n‘Use Now’ when you wish to use the e-voucher code from ‘My Wallet’."";",,"""Ganjaran anda kini ditambahkan ke dalam 'Dompet Saya'. Klik \ n'Use Now 'ketika anda ingin menggunakan kod e-baucar dari' My Wallet '."";"
1,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Not Used/RewardNotUsedTableViewCell.strings,"""WnR-37-bdI.normalTitle""","""SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Not Used/RewardNotUsedTableViewCell.strings"";","""Quay lại mục Đổi điểm thưởng"";","""Back to Rewards"";","""SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Not Used/RewardNotUsedTableViewCell.strings"";","""SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Not Used/RewardNotUsedTableViewCell.strings"";","""SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Not Used/RewardNotUsedTableViewCell.strings"";",,"""Kembali ke Ganjaran"" "";"
2,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Not Used/RewardNotUsedTableViewCell.strings,"""kNH-53-Kls.text""","""Successfully Redeemed!"";","""Đã chuộc lại thành công!"";","""Successfully Redeemed!"";","""Successfully Redeemed!"";","""Обмен прошел успешно!"""";","""Successfully Redeemed!"";",,"""Berjaya Ditebus!"";"
3,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Not Used/RewardNotUsedTableViewCell.strings,"""q1r-eW-oeU.normalTitle""","""SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Not Used/RewardNotUsedTableViewCell.strings"";","""Xem trong Ví của Tôi"";","""View in My Wallet"";","""SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Not Used/RewardNotUsedTableViewCell.strings"";","""SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Not Used/RewardNotUsedTableViewCell.strings"";","""SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Not Used/RewardNotUsedTableViewCell.strings"";",,"""Lihat di Dompet Saya"";"
0,SKOR/Receipt/Receipt Detail/Custom Cell/ReceiptsImageTableViewCell.strings,"""Ahw-aU-r1N.normalTitle""","""Edit Image"";","""Edit Image"";","""Edit Gambar"";","""แก้ไขรูปภาพ"";","""Редактировать изображение"";","""编辑图像"";",,"""Edit Gambar"";"
0,SKOR/Receipt/Receipt Detail/Custom Cell/ReceiptDetailCell.strings,"""aSg-1q-kAm.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Метка"""";","""Label"";",,"""Label"";"
1,SKOR/Receipt/Receipt Detail/Custom Cell/ReceiptDetailCell.strings,"""mI5-OP-vAg.placeholder""","""Add"";","""Add"";","""Add"";","""เพิ่ม"";","""Add"";","""Add"";",,"""Add"";"
2,SKOR/Receipt/Receipt Detail/Custom Cell/ReceiptDetailCell.strings,"""tZb-7Z-XVd.text""","""(Optional)"";","""(Optional)"";","""(Optional)"";","""(ไม่จำเป็น)"";","""(Optional)"";","""(Optional)"";",,"""(Optional)"";"
